service,start_time,end_time,consumption
ELECTRIC,2026-08-13 09:15:00-04:00,2026-08-13 09:29:59-04:00,0
ELECTRIC,2026-08-13 09:30:00-04:00,2026-08-13 09:44:59-04:00,0
ELECTRIC,2026-08-13 09:45:00-04:00,2026-08-13 09:59:59-04:00,-49
ELECTRIC,2026-08-13 10:00:00-04:00,2026-08-13 10:14:59-04:00,-132
ELECTRIC,2026-08-13 10:15:00-04:00,2026-08-13 10:29:59-04:00,-206
ELECTRIC,2026-08-13 10:30:00-04:00,2026-08-13 10:44:59-04:00,-27
ELECTRIC,2026-08-13 10:45:00-04:00,2026-08-13 10:59:59-04:00,-115
ELECTRIC,2026-08-13 11:00:00-04:00,2026-08-13 11:14:59-04:00,-358
ELECTRIC,2026-08-13 11:15:00-04:00,2026-08-13 11:29:59-04:00,-90
ELECTRIC,2026-08-13 11:30:00-04:00,2026-08-13 11:44:59-04:00,-92
ELECTRIC,2026-08-13 11:45:00-04:00,2026-08-13 11:59:59-04:00,-356
ELECTRIC,2026-08-13 12:00:00-04:00,2026-08-13 12:14:59-04:00,-124
ELECTRIC,2026-08-13 12:15:00-04:00,2026-08-13 12:29:59-04:00,-170
ELECTRIC,2026-08-13 12:30:00-04:00,2026-08-13 12:44:59-04:00,-243
ELECTRIC,2026-08-13 12:45:00-04:00,2026-08-13 12:59:59-04:00,-241
ELECTRIC,2026-08-13 13:00:00-04:00,2026-08-13 13:14:59-04:00,-313
ELECTRIC,2026-08-13 13:15:00-04:00,2026-08-13 13:29:59-04:00,-409
ELECTRIC,2026-08-13 13:30:00-04:00,2026-08-13 13:44:59-04:00,-267
ELECTRIC,2026-08-13 13:45:00-04:00,2026-08-13 13:59:59-04:00,-242
ELECTRIC,2026-08-13 14:00:00-04:00,2026-08-13 14:14:59-04:00,-169
ELECTRIC,2026-08-13 14:15:00-04:00,2026-08-13 14:29:59-04:00,-201
ELECTRIC,2026-08-13 14:30:00-04:00,2026-08-13 14:44:59-04:00,-179
ELECTRIC,2026-08-13 14:45:00-04:00,2026-08-13 14:59:59-04:00,-129
ELECTRIC,2026-08-13 15:00:00-04:00,2026-08-13 15:14:59-04:00,-93
ELECTRIC,2026-08-13 15:15:00-04:00,2026-08-13 15:29:59-04:00,-213
ELECTRIC,2026-08-13 15:30:00-04:00,2026-08-13 15:44:59-04:00,-138
ELECTRIC,2026-08-13 15:45:00-04:00,2026-08-13 15:59:59-04:00,-215
ELECTRIC,2026-08-13 16:00:00-04:00,2026-08-13 16:14:59-04:00,-49
ELECTRIC,2026-08-13 16:15:00-04:00,2026-08-13 16:29:59-04:00,-10
ELECTRIC,2026-08-13 16:30:00-04:00,2026-08-13 16:44:59-04:00,-6
ELECTRIC,2026-08-13 16:45:00-04:00,2026-08-13 16:59:59-04:00,-11
ELECTRIC,2026-08-13 17:00:00-04:00,2026-08-13 17:14:59-04:00,0
ELECTRIC,2026-08-13 17:15:00-04:00,2026-08-13 17:29:59-04:00,0
ELECTRIC,2026-08-13 17:30:00-04:00,2026-08-13 17:44:59-04:00,0
ELECTRIC,2026-08-13 17:45:00-04:00,2026-08-13 17:59:59-04:00,0
ELECTRIC,2026-08-13 18:00:00-04:00,2026-08-13 18:14:59-04:00,0
ELECTRIC,2026-08-13 18:15:00-04:00,2026-08-13 18:29:59-04:00,0
ELECTRIC,2026-08-13 18:30:00-04:00,2026-08-13 18:44:59-04:00,0
ELECTRIC,2026-08-13 18:45:00-04:00,2026-08-13 18:59:59-04:00,0
ELECTRIC,2026-08-13 19:00:00-04:00,2026-08-13 19:14:59-04:00,0
ELECTRIC,2026-08-13 19:15:00-04:00,2026-08-13 19:29:59-04:00,0
ELECTRIC,2026-08-13 19:30:00-04:00,2026-08-13 19:44:59-04:00,0
ELECTRIC,2026-08-13 19:45:00-04:00,2026-08-13 19:59:59-04:00,0
ELECTRIC,2026-08-13 20:00:00-04:00,2026-08-13 20:14:59-04:00,0
ELECTRIC,2026-08-13 20:15:00-04:00,2026-08-13 20:29:59-04:00,0
ELECTRIC,2026-08-13 20:30:00-04:00,2026-08-13 20:44:59-04:00,0
ELECTRIC,2026-08-13 20:45:00-04:00,2026-08-13 20:59:59-04:00,0
ELECTRIC,2026-08-13 21:00:00-04:00,2026-08-13 21:14:59-04:00,0
ELECTRIC,2026-08-13 21:15:00-04:00,2026-08-13 21:29:59-04:00,0
ELECTRIC,2026-08-13 21:30:00-04:00,2026-08-13 21:44:59-04:00,0
ELECTRIC,2026-08-13 21:45:00-04:00,2026-08-13 21:59:59-04:00,0
ELECTRIC,2026-08-13 22:00:00-04:00,2026-08-13 22:14:59-04:00,0
ELECTRIC,2026-08-13 22:15:00-04:00,2026-08-13 22:29:59-04:00,0
ELECTRIC,2026-08-13 22:30:00-04:00,2026-08-13 22:44:59-04:00,0
ELECTRIC,2026-08-13 22:45:00-04:00,2026-08-13 22:59:59-04:00,0
ELECTRIC,2026-08-13 23:00:00-04:00,2026-08-13 23:14:59-04:00,0
ELECTRIC,2026-08-13 23:15:00-04:00,2026-08-13 23:29:59-04:00,0
ELECTRIC,2026-08-13 23:30:00-04:00,2026-08-13 23:44:59-04:00,0
ELECTRIC,2026-08-13 23:45:00-04:00,2026-08-13 23:59:59-04:00,0
ELECTRIC,2026-08-14 00:00:00-04:00,2026-08-14 00:14:59-04:00,0
ELECTRIC,2026-08-14 00:15:00-04:00,2026-08-14 00:29:59-04:00,0
ELECTRIC,2026-08-14 00:30:00-04:00,2026-08-14 00:44:59-04:00,0
ELECTRIC,2026-08-14 00:45:00-04:00,2026-08-14 00:59:59-04:00,0
ELECTRIC,2026-08-14 01:00:00-04:00,2026-08-14 01:14:59-04:00,0
ELECTRIC,2026-08-14 01:15:00-04:00,2026-08-14 01:29:59-04:00,0
ELECTRIC,2026-08-14 01:30:00-04:00,2026-08-14 01:44:59-04:00,0
ELECTRIC,2026-08-14 01:45:00-04:00,2026-08-14 01:59:59-04:00,0
ELECTRIC,2026-08-14 02:00:00-04:00,2026-08-14 02:14:59-04:00,0
ELECTRIC,2026-08-14 02:15:00-04:00,2026-08-14 02:29:59-04:00,0
ELECTRIC,2026-08-14 02:30:00-04:00,2026-08-14 02:44:59-04:00,0
ELECTRIC,2026-08-14 02:45:00-04:00,2026-08-14 02:59:59-04:00,0
ELECTRIC,2026-08-14 03:00:00-04:00,2026-08-14 03:14:59-04:00,0
ELECTRIC,2026-08-14 03:15:00-04:00,2026-08-14 03:29:59-04:00,0
ELECTRIC,2026-08-14 03:30:00-04:00,2026-08-14 03:44:59-04:00,0
ELECTRIC,2026-08-14 03:45:00-04:00,2026-08-14 03:59:59-04:00,0
ELECTRIC,2026-08-14 04:00:00-04:00,2026-08-14 04:14:59-04:00,0
ELECTRIC,2026-08-14 04:15:00-04:00,2026-08-14 04:29:59-04:00,0
ELECTRIC,2026-08-14 04:30:00-04:00,2026-08-14 04:44:59-04:00,0
ELECTRIC,2026-08-14 04:45:00-04:00,2026-08-14 04:59:59-04:00,0
ELECTRIC,2026-08-14 05:00:00-04:00,2026-08-14 05:14:59-04:00,0
ELECTRIC,2026-08-14 05:15:00-04:00,2026-08-14 05:29:59-04:00,0
ELECTRIC,2026-08-14 05:30:00-04:00,2026-08-14 05:44:59-04:00,0
ELECTRIC,2026-08-14 05:45:00-04:00,2026-08-14 05:59:59-04:00,0
ELECTRIC,2026-08-14 06:00:00-04:00,2026-08-14 06:14:59-04:00,0
ELECTRIC,2026-08-14 06:15:00-04:00,2026-08-14 06:29:59-04:00,0
ELECTRIC,2026-08-14 06:30:00-04:00,2026-08-14 06:44:59-04:00,0
ELECTRIC,2026-08-14 06:45:00-04:00,2026-08-14 06:59:59-04:00,0
ELECTRIC,2026-08-14 07:00:00-04:00,2026-08-14 07:14:59-04:00,0
ELECTRIC,2026-08-14 07:15:00-04:00,2026-08-14 07:29:59-04:00,0
ELECTRIC,2026-08-14 07:30:00-04:00,2026-08-14 07:44:59-04:00,0
ELECTRIC,2026-08-14 07:45:00-04:00,2026-08-14 07:59:59-04:00,0
ELECTRIC,2026-08-14 08:00:00-04:00,2026-08-14 08:14:59-04:00,0
ELECTRIC,2026-08-14 08:15:00-04:00,2026-08-14 08:29:59-04:00,0
ELECTRIC,2026-08-14 08:30:00-04:00,2026-08-14 08:44:59-04:00,0
ELECTRIC,2026-08-14 08:45:00-04:00,2026-08-14 08:59:59-04:00,0
ELECTRIC,2026-08-14 09:00:00-04:00,2026-08-14 09:14:59-04:00,0
ELECTRIC,2026-08-14 09:15:00-04:00,2026-08-14 09:29:59-04:00,0
ELECTRIC,2026-08-14 09:30:00-04:00,2026-08-14 09:44:59-04:00,-7
ELECTRIC,2026-08-14 09:45:00-04:00,2026-08-14 09:59:59-04:00,0
ELECTRIC,2026-08-14 10:00:00-04:00,2026-08-14 10:14:59-04:00,-11
ELECTRIC,2026-08-14 10:15:00-04:00,2026-08-14 10:29:59-04:00,-175
ELECTRIC,2026-08-14 10:30:00-04:00,2026-08-14 10:44:59-04:00,-95
ELECTRIC,2026-08-14 10:45:00-04:00,2026-08-14 10:59:59-04:00,-448
ELECTRIC,2026-08-14 11:00:00-04:00,2026-08-14 11:14:59-04:00,-166
ELECTRIC,2026-08-14 11:15:00-04:00,2026-08-14 11:29:59-04:00,-173
ELECTRIC,2026-08-14 11:30:00-04:00,2026-08-14 11:44:59-04:00,-736
ELECTRIC,2026-08-14 11:45:00-04:00,2026-08-14 11:59:59-04:00,-302
ELECTRIC,2026-08-14 12:00:00-04:00,2026-08-14 12:14:59-04:00,-214
ELECTRIC,2026-08-14 12:15:00-04:00,2026-08-14 12:29:59-04:00,-160
ELECTRIC,2026-08-14 12:30:00-04:00,2026-08-14 12:44:59-04:00,-30
ELECTRIC,2026-08-14 12:45:00-04:00,2026-08-14 12:59:59-04:00,-162
ELECTRIC,2026-08-14 13:00:00-04:00,2026-08-14 13:14:59-04:00,-250
ELECTRIC,2026-08-14 13:15:00-04:00,2026-08-14 13:29:59-04:00,-644
ELECTRIC,2026-08-14 13:30:00-04:00,2026-08-14 13:44:59-04:00,-531
ELECTRIC,2026-08-14 13:45:00-04:00,2026-08-14 13:59:59-04:00,-283
ELECTRIC,2026-08-14 14:00:00-04:00,2026-08-14 14:14:59-04:00,-257
ELECTRIC,2026-08-14 14:15:00-04:00,2026-08-14 14:29:59-04:00,-242
ELECTRIC,2026-08-14 14:30:00-04:00,2026-08-14 14:44:59-04:00,-239
ELECTRIC,2026-08-14 14:45:00-04:00,2026-08-14 14:59:59-04:00,-223
ELECTRIC,2026-08-14 15:00:00-04:00,2026-08-14 15:14:59-04:00,-209
ELECTRIC,2026-08-14 15:15:00-04:00,2026-08-14 15:29:59-04:00,-147
ELECTRIC,2026-08-14 15:30:00-04:00,2026-08-14 15:44:59-04:00,-140
ELECTRIC,2026-08-14 15:45:00-04:00,2026-08-14 15:59:59-04:00,-166
ELECTRIC,2026-08-14 16:00:00-04:00,2026-08-14 16:14:59-04:00,-57
ELECTRIC,2026-08-14 16:15:00-04:00,2026-08-14 16:29:59-04:00,-6
ELECTRIC,2026-08-14 16:30:00-04:00,2026-08-14 16:44:59-04:00,0
ELECTRIC,2026-08-14 16:45:00-04:00,2026-08-14 16:59:59-04:00,0
ELECTRIC,2026-08-14 17:00:00-04:00,2026-08-14 17:14:59-04:00,0
ELECTRIC,2026-08-14 17:15:00-04:00,2026-08-14 17:29:59-04:00,0
ELECTRIC,2026-08-14 17:30:00-04:00,2026-08-14 17:44:59-04:00,0
ELECTRIC,2026-08-14 17:45:00-04:00,2026-08-14 17:59:59-04:00,0
ELECTRIC,2026-08-14 18:00:00-04:00,2026-08-14 18:14:59-04:00,0
ELECTRIC,2026-08-14 18:15:00-04:00,2026-08-14 18:29:59-04:00,0
ELECTRIC,2026-08-14 18:30:00-04:00,2026-08-14 18:44:59-04:00,0
ELECTRIC,2026-08-14 18:45:00-04:00,2026-08-14 18:59:59-04:00,0
ELECTRIC,2026-08-14 19:00:00-04:00,2026-08-14 19:14:59-04:00,0
ELECTRIC,2026-08-14 19:15:00-04:00,2026-08-14 19:29:59-04:00,0
ELECTRIC,2026-08-14 19:30:00-04:00,2026-08-14 19:44:59-04:00,0
ELECTRIC,2026-08-14 19:45:00-04:00,2026-08-14 19:59:59-04:00,0
ELECTRIC,2026-08-14 20:00:00-04:00,2026-08-14 20:14:59-04:00,0
ELECTRIC,2026-08-14 20:15:00-04:00,2026-08-14 20:29:59-04:00,0
ELECTRIC,2026-08-14 20:30:00-04:00,2026-08-14 20:44:59-04:00,0
ELECTRIC,2026-08-14 20:45:00-04:00,2026-08-14 20:59:59-04:00,0
ELECTRIC,2026-08-14 21:00:00-04:00,2026-08-14 21:14:59-04:00,0
ELECTRIC,2026-08-14 21:15:00-04:00,2026-08-14 21:29:59-04:00,0
ELECTRIC,2026-08-14 21:30:00-04:00,2026-08-14 21:44:59-04:00,0
ELECTRIC,2026-08-14 21:45:00-04:00,2026-08-14 21:59:59-04:00,0
ELECTRIC,2026-08-14 22:00:00-04:00,2026-08-14 22:14:59-04:00,0
ELECTRIC,2026-08-14 22:15:00-04:00,2026-08-14 22:29:59-04:00,0
ELECTRIC,2026-08-14 22:30:00-04:00,2026-08-14 22:44:59-04:00,0
ELECTRIC,2026-08-14 22:45:00-04:00,2026-08-14 22:59:59-04:00,0
ELECTRIC,2026-08-14 23:00:00-04:00,2026-08-14 23:14:59-04:00,0
ELECTRIC,2026-08-14 23:15:00-04:00,2026-08-14 23:29:59-04:00,0
ELECTRIC,2026-08-14 23:30:00-04:00,2026-08-14 23:44:59-04:00,0
ELECTRIC,2026-08-14 23:45:00-04:00,2026-08-14 23:59:59-04:00,0
ELECTRIC,2026-08-15 00:00:00-04:00,2026-08-15 00:14:59-04:00,0
ELECTRIC,2026-08-15 00:15:00-04:00,2026-08-15 00:29:59-04:00,0
ELECTRIC,2026-08-15 00:30:00-04:00,2026-08-15 00:44:59-04:00,0
ELECTRIC,2026-08-15 00:45:00-04:00,2026-08-15 00:59:59-04:00,0
ELECTRIC,2026-08-15 01:00:00-04:00,2026-08-15 01:14:59-04:00,0
ELECTRIC,2026-08-15 01:15:00-04:00,2026-08-15 01:29:59-04:00,0
ELECTRIC,2026-08-15 01:30:00-04:00,2026-08-15 01:44:59-04:00,0
ELECTRIC,2026-08-15 01:45:00-04:00,2026-08-15 01:59:59-04:00,0
ELECTRIC,2026-08-15 02:00:00-04:00,2026-08-15 02:14:59-04:00,0
ELECTRIC,2026-08-15 02:15:00-04:00,2026-08-15 02:29:59-04:00,0
ELECTRIC,2026-08-15 02:30:00-04:00,2026-08-15 02:44:59-04:00,0
ELECTRIC,2026-08-15 02:45:00-04:00,2026-08-15 02:59:59-04:00,0
ELECTRIC,2026-08-15 03:00:00-04:00,2026-08-15 03:14:59-04:00,0
ELECTRIC,2026-08-15 03:15:00-04:00,2026-08-15 03:29:59-04:00,0
ELECTRIC,2026-08-15 03:30:00-04:00,2026-08-15 03:44:59-04:00,0
ELECTRIC,2026-08-15 03:45:00-04:00,2026-08-15 03:59:59-04:00,0
ELECTRIC,2026-08-15 04:00:00-04:00,2026-08-15 04:14:59-04:00,0
ELECTRIC,2026-08-15 04:15:00-04:00,2026-08-15 04:29:59-04:00,0
ELECTRIC,2026-08-15 04:30:00-04:00,2026-08-15 04:44:59-04:00,0
ELECTRIC,2026-08-15 04:45:00-04:00,2026-08-15 04:59:59-04:00,0
ELECTRIC,2026-08-15 05:00:00-04:00,2026-08-15 05:14:59-04:00,0
ELECTRIC,2026-08-15 05:15:00-04:00,2026-08-15 05:29:59-04:00,0
ELECTRIC,2026-08-15 05:30:00-04:00,2026-08-15 05:44:59-04:00,0
ELECTRIC,2026-08-15 05:45:00-04:00,2026-08-15 05:59:59-04:00,0
ELECTRIC,2026-08-15 06:00:00-04:00,2026-08-15 06:14:59-04:00,0
ELECTRIC,2026-08-15 06:15:00-04:00,2026-08-15 06:29:59-04:00,0
ELECTRIC,2026-08-15 06:30:00-04:00,2026-08-15 06:44:59-04:00,0
ELECTRIC,2026-08-15 06:45:00-04:00,2026-08-15 06:59:59-04:00,0
ELECTRIC,2026-08-15 07:00:00-04:00,2026-08-15 07:14:59-04:00,0
ELECTRIC,2026-08-15 07:15:00-04:00,2026-08-15 07:29:59-04:00,0
ELECTRIC,2026-08-15 07:30:00-04:00,2026-08-15 07:44:59-04:00,0
ELECTRIC,2026-08-15 07:45:00-04:00,2026-08-15 07:59:59-04:00,0
ELECTRIC,2026-08-15 08:00:00-04:00,2026-08-15 08:14:59-04:00,0
ELECTRIC,2026-08-15 08:15:00-04:00,2026-08-15 08:29:59-04:00,0
ELECTRIC,2026-08-15 08:30:00-04:00,2026-08-15 08:44:59-04:00,0
ELECTRIC,2026-08-15 08:45:00-04:00,2026-08-15 08:59:59-04:00,0
ELECTRIC,2026-08-15 09:00:00-04:00,2026-08-15 09:14:59-04:00,0
ELECTRIC,2026-08-15 09:15:00-04:00,2026-08-15 09:29:59-04:00,-36
ELECTRIC,2026-08-15 09:30:00-04:00,2026-08-15 09:44:59-04:00,-51
ELECTRIC,2026-08-15 09:45:00-04:00,2026-08-15 09:59:59-04:00,-60
ELECTRIC,2026-08-15 10:00:00-04:00,2026-08-15 10:14:59-04:00,-55
ELECTRIC,2026-08-15 10:15:00-04:00,2026-08-15 10:29:59-04:00,-116
ELECTRIC,2026-08-15 10:30:00-04:00,2026-08-15 10:44:59-04:00,-220
ELECTRIC,2026-08-15 10:45:00-04:00,2026-08-15 10:59:59-04:00,-533
ELECTRIC,2026-08-15 11:00:00-04:00,2026-08-15 11:14:59-04:00,-24
ELECTRIC,2026-08-15 11:15:00-04:00,2026-08-15 11:29:59-04:00,-491
ELECTRIC,2026-08-15 11:30:00-04:00,2026-08-15 11:44:59-04:00,-574
ELECTRIC,2026-08-15 11:45:00-04:00,2026-08-15 11:59:59-04:00,-439
ELECTRIC,2026-08-15 12:00:00-04:00,2026-08-15 12:14:59-04:00,-806
ELECTRIC,2026-08-15 12:15:00-04:00,2026-08-15 12:29:59-04:00,-249
ELECTRIC,2026-08-15 12:30:00-04:00,2026-08-15 12:44:59-04:00,-576
ELECTRIC,2026-08-15 12:45:00-04:00,2026-08-15 12:59:59-04:00,-225
ELECTRIC,2026-08-15 13:00:00-04:00,2026-08-15 13:14:59-04:00,-265
ELECTRIC,2026-08-15 13:15:00-04:00,2026-08-15 13:29:59-04:00,-175
ELECTRIC,2026-08-15 13:30:00-04:00,2026-08-15 13:44:59-04:00,-252
ELECTRIC,2026-08-15 13:45:00-04:00,2026-08-15 13:59:59-04:00,-253
ELECTRIC,2026-08-15 14:00:00-04:00,2026-08-15 14:14:59-04:00,-223
ELECTRIC,2026-08-15 14:15:00-04:00,2026-08-15 14:29:59-04:00,-268
ELECTRIC,2026-08-15 14:30:00-04:00,2026-08-15 14:44:59-04:00,-257
ELECTRIC,2026-08-15 14:45:00-04:00,2026-08-15 14:59:59-04:00,-262
ELECTRIC,2026-08-15 15:00:00-04:00,2026-08-15 15:14:59-04:00,-178
ELECTRIC,2026-08-15 15:15:00-04:00,2026-08-15 15:29:59-04:00,-174
ELECTRIC,2026-08-15 15:30:00-04:00,2026-08-15 15:44:59-04:00,-150
ELECTRIC,2026-08-15 15:45:00-04:00,2026-08-15 15:59:59-04:00,-180
ELECTRIC,2026-08-15 16:00:00-04:00,2026-08-15 16:14:59-04:00,-112
ELECTRIC,2026-08-15 16:15:00-04:00,2026-08-15 16:29:59-04:00,-84
ELECTRIC,2026-08-15 16:30:00-04:00,2026-08-15 16:44:59-04:00,-40
ELECTRIC,2026-08-15 16:45:00-04:00,2026-08-15 16:59:59-04:00,-22
ELECTRIC,2026-08-15 17:00:00-04:00,2026-08-15 17:14:59-04:00,0
ELECTRIC,2026-08-15 17:15:00-04:00,2026-08-15 17:29:59-04:00,0
ELECTRIC,2026-08-15 17:30:00-04:00,2026-08-15 17:44:59-04:00,0
ELECTRIC,2026-08-15 17:45:00-04:00,2026-08-15 17:59:59-04:00,0
ELECTRIC,2026-08-15 18:00:00-04:00,2026-08-15 18:14:59-04:00,0
ELECTRIC,2026-08-15 18:15:00-04:00,2026-08-15 18:29:59-04:00,0
ELECTRIC,2026-08-15 18:30:00-04:00,2026-08-15 18:44:59-04:00,0
ELECTRIC,2026-08-15 18:45:00-04:00,2026-08-15 18:59:59-04:00,0
ELECTRIC,2026-08-15 19:00:00-04:00,2026-08-15 19:14:59-04:00,0
ELECTRIC,2026-08-15 19:15:00-04:00,2026-08-15 19:29:59-04:00,0
ELECTRIC,2026-08-15 19:30:00-04:00,2026-08-15 19:44:59-04:00,0
ELECTRIC,2026-08-15 19:45:00-04:00,2026-08-15 19:59:59-04:00,0
ELECTRIC,2026-08-15 20:00:00-04:00,2026-08-15 20:14:59-04:00,0
ELECTRIC,2026-08-15 20:15:00-04:00,2026-08-15 20:29:59-04:00,0
ELECTRIC,2026-08-15 20:30:00-04:00,2026-08-15 20:44:59-04:00,0
ELECTRIC,2026-08-15 20:45:00-04:00,2026-08-15 20:59:59-04:00,0
ELECTRIC,2026-08-15 21:00:00-04:00,2026-08-15 21:14:59-04:00,0
ELECTRIC,2026-08-15 21:15:00-04:00,2026-08-15 21:29:59-04:00,0
ELECTRIC,2026-08-15 21:30:00-04:00,2026-08-15 21:44:59-04:00,0
ELECTRIC,2026-08-15 21:45:00-04:00,2026-08-15 21:59:59-04:00,0
ELECTRIC,2026-08-15 22:00:00-04:00,2026-08-15 22:14:59-04:00,0
ELECTRIC,2026-08-15 22:15:00-04:00,2026-08-15 22:29:59-04:00,0
ELECTRIC,2026-08-15 22:30:00-04:00,2026-08-15 22:44:59-04:00,0
ELECTRIC,2026-08-15 22:45:00-04:00,2026-08-15 22:59:59-04:00,0
ELECTRIC,2026-08-15 23:00:00-04:00,2026-08-15 23:14:59-04:00,0
ELECTRIC,2026-08-15 23:15:00-04:00,2026-08-15 23:29:59-04:00,0
ELECTRIC,2026-08-15 23:30:00-04:00,2026-08-15 23:44:59-04:00,0
ELECTRIC,2026-08-15 23:45:00-04:00,2026-08-15 23:59:59-04:00,0
ELECTRIC,2026-08-16 00:00:00-04:00,2026-08-16 00:14:59-04:00,0
ELECTRIC,2026-08-16 00:15:00-04:00,2026-08-16 00:29:59-04:00,0
ELECTRIC,2026-08-16 00:30:00-04:00,2026-08-16 00:44:59-04:00,0
ELECTRIC,2026-08-16 00:45:00-04:00,2026-08-16 00:59:59-04:00,0
ELECTRIC,2026-08-16 01:00:00-04:00,2026-08-16 01:14:59-04:00,0
ELECTRIC,2026-08-16 01:15:00-04:00,2026-08-16 01:29:59-04:00,0
ELECTRIC,2026-08-16 01:30:00-04:00,2026-08-16 01:44:59-04:00,0
ELECTRIC,2026-08-16 01:45:00-04:00,2026-08-16 01:59:59-04:00,0
ELECTRIC,2026-08-16 02:00:00-04:00,2026-08-16 02:14:59-04:00,0
ELECTRIC,2026-08-16 02:15:00-04:00,2026-08-16 02:29:59-04:00,0
ELECTRIC,2026-08-16 02:30:00-04:00,2026-08-16 02:44:59-04:00,0
ELECTRIC,2026-08-16 02:45:00-04:00,2026-08-16 02:59:59-04:00,0
ELECTRIC,2026-08-16 03:00:00-04:00,2026-08-16 03:14:59-04:00,0
ELECTRIC,2026-08-16 03:15:00-04:00,2026-08-16 03:29:59-04:00,0
ELECTRIC,2026-08-16 03:30:00-04:00,2026-08-16 03:44:59-04:00,0
ELECTRIC,2026-08-16 03:45:00-04:00,2026-08-16 03:59:59-04:00,0
ELECTRIC,2026-08-16 04:00:00-04:00,2026-08-16 04:14:59-04:00,0
ELECTRIC,2026-08-16 04:15:00-04:00,2026-08-16 04:29:59-04:00,0
ELECTRIC,2026-08-16 04:30:00-04:00,2026-08-16 04:44:59-04:00,0
ELECTRIC,2026-08-16 04:45:00-04:00,2026-08-16 04:59:59-04:00,0
ELECTRIC,2026-08-16 05:00:00-04:00,2026-08-16 05:14:59-04:00,0
ELECTRIC,2026-08-16 05:15:00-04:00,2026-08-16 05:29:59-04:00,0
ELECTRIC,2026-08-16 05:30:00-04:00,2026-08-16 05:44:59-04:00,0
ELECTRIC,2026-08-16 05:45:00-04:00,2026-08-16 05:59:59-04:00,0
ELECTRIC,2026-08-16 06:00:00-04:00,2026-08-16 06:14:59-04:00,0
ELECTRIC,2026-08-16 06:15:00-04:00,2026-08-16 06:29:59-04:00,0
ELECTRIC,2026-08-16 06:30:00-04:00,2026-08-16 06:44:59-04:00,0
